?city ?year ?population .
<http://dbpedia.org/resource/R%C3%ADo%20Cuarto> "2010" "164344.459035137"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rosario> "2010" "1261404.11160335"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Salta> "2010" "537106.522392764"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San_Juan%2C_Puerto_Rico> "2010" "468329.572242688"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Nicol%C3%A1s-Villa%20Constituci%C3%B3n> "2010" "179757.394037044"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Salvador%20de%20Jujuy-Palpal%C3%A1> "2010" "309034.152094366"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20F%C3%A9> "2010" "506053.768541226"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santa%20Rosa-Toay> "2010" "121229.365117479"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Santiago%20del%20Estero-La%20Banda> "2010" "370561.386314553"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Tucum%C3%A1n-Taf%C3%AD%20Viejo> "2010" "811804.106587273"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Ushuaia-R%C3%ADo%20Grande> "2010" "122104.906599864"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Avellaneda> "1991" "344024"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Bah%C3%ADa%20Blanca-Cerri> "1991" "260096"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Buenos_Aires> "1991" "2965403"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Buenos_Aires> "1991" "11298030"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Catamarca> "1991" "109882"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Catamarca> "1991" "132626"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Comodoro%20Rivadavia-Rada%20Tilly> "1991" "124104"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Concordia> "1991" "116485"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/C%C3%B3rdoba> "1991" "1157507"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/C%C3%B3rdoba> "1991" "1208554"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Corrientes> "1991" "258103"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Formosa> "1991" "147636"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/General%20San%20Mart%C3%ADn> "1991" "406809"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/La%20Matanza> "1991" "1120088"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/La%20Plata> "1991" "521936"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/La%20Plata> "1991" "642979"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lanus> "1991" "468561"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Lomas%20De%20Zamora> "1991" "574330"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mar%20del%20Plata-Bat%C3%A1n> "1991" "512880"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mendoza> "1991" "121620"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mendoza> "1991" "773113"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mor%C3%B3n> "1991" "643553"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Neuqu%C3%A9N-Plottier> "1991" "167296"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Neuqu%C3%A9N-Plottier> "1991" "183579"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paran%C3%A1> "1991" "207041"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paran%C3%A1> "1991" "211936"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Posadas> "1991" "201273"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Posadas> "1991" "210755"^^<http://www.w3.org/2001/XMLSchema#double> .
