# city	citylabel	year	population
http://harth.org/andreas/2017/citydata/unsd/cities#000895U	Santa Rosa-Toay	2010	121229.365117479
http://harth.org/andreas/2017/citydata/unsd/cities#000800U	Río Cuarto	2010	164344.459035137
http://harth.org/andreas/2017/citydata/unsd/cities#000785U	Rawson-Trelew-Playa Unión	2010	128970.652529568
http://harth.org/andreas/2017/citydata/unsd/cities#000900U	Santiago del Estero-La Banda	2010	370561.386314553
http://harth.org/andreas/2017/citydata/unsd/cities#000580C	Avellaneda	1991	344024
http://harth.org/andreas/2017/citydata/unsd/cities#000750U	Neuquén-Plottier	2010	265215.661375981
http://harth.org/andreas/2017/citydata/unsd/cities#000610C	Catamarca	1991	109882
http://harth.org/andreas/2017/citydata/unsd/cities#000590C	Bahía Blanca-Cerri	1991	260096
http://harth.org/andreas/2017/citydata/unsd/cities#000908U	Ushuaia-Río Grande	2010	122104.906599864
http://harth.org/andreas/2017/citydata/unsd/cities#000620C	Comodoro Rivadavia-Rada Tilly	1991	124104
http://harth.org/andreas/2017/citydata/unsd/cities#000905U	Tucumán-Tafí Viejo	2010	811804.106587273
http://harth.org/andreas/2017/citydata/unsd/cities#000890U	Santa Fé	2010	506053.768541226
http://harth.org/andreas/2017/citydata/unsd/cities#000880U	San Salvador de Jujuy-Palpalá	2010	309034.152094366
http://harth.org/andreas/2017/citydata/unsd/cities#000630C	Concordia	1991	116485
http://harth.org/andreas/2017/citydata/unsd/cities#000640U	Córdoba	1991	1208554
http://harth.org/andreas/2017/citydata/unsd/cities#000660C	Formosa	1991	147636
http://harth.org/andreas/2017/citydata/unsd/cities#000690U	La Plata	1991	642979
http://harth.org/andreas/2017/citydata/unsd/cities#000640C	Córdoba	1991	1157507
http://harth.org/andreas/2017/citydata/unsd/cities#000700C	Lanus	1991	468561
http://harth.org/andreas/2017/citydata/unsd/cities#000710C	Lomas de Zamora	1991	574330
http://harth.org/andreas/2017/citydata/unsd/cities#000610U	Catamarca	1991	132626
http://harth.org/andreas/2017/citydata/unsd/cities#000600C	BUENOS AIRES	1991	2965403
http://harth.org/andreas/2017/citydata/unsd/cities#000600U	BUENOS AIRES	1991	11298030
http://harth.org/andreas/2017/citydata/unsd/cities#000730U	Mendoza	1991	773113
http://harth.org/andreas/2017/citydata/unsd/cities#000730C	Mendoza	1991	121620
http://harth.org/andreas/2017/citydata/unsd/cities#000720C	Mar del Plata-Batán	1991	512880
http://harth.org/andreas/2017/citydata/unsd/cities#000690C	La Plata	1991	521936
http://harth.org/andreas/2017/citydata/unsd/cities#000760C	Paraná	1991	207041
http://harth.org/andreas/2017/citydata/unsd/cities#000650C	Corrientes	1991	258103
http://harth.org/andreas/2017/citydata/unsd/cities#000670C	General San Martín	1991	406809
http://harth.org/andreas/2017/citydata/unsd/cities#000680C	La Matanza	1991	1120088
http://harth.org/andreas/2017/citydata/unsd/cities#000780C	Quilmes	1991	511234
http://harth.org/andreas/2017/citydata/unsd/cities#000770U	Posadas	1991	210755
http://harth.org/andreas/2017/citydata/unsd/cities#000770C	Posadas	1991	201273
http://harth.org/andreas/2017/citydata/unsd/cities#000800C	Río Cuarto	1991	134355
http://harth.org/andreas/2017/citydata/unsd/cities#000760U	Paraná	1991	211936
http://harth.org/andreas/2017/citydata/unsd/cities#000750U	Neuquén-Plottier	1991	183579
http://harth.org/andreas/2017/citydata/unsd/cities#000740C	Morón	1991	643553
http://harth.org/andreas/2017/citydata/unsd/cities#000750C	Neuquén-Plottier	1991	167296
http://harth.org/andreas/2017/citydata/unsd/cities#000840C	San Isidro	1991	299023
http://harth.org/andreas/2017/citydata/unsd/cities#000810C	Rosario	1991	907718
http://harth.org/andreas/2017/citydata/unsd/cities#000820C	Salta	1991	367550
http://harth.org/andreas/2017/citydata/unsd/cities#000810U	Rosario	1991	1118905
http://harth.org/andreas/2017/citydata/unsd/cities#000800U	Río Cuarto	1991	138853
http://harth.org/andreas/2017/citydata/unsd/cities#000880C	San Salvador de Jujuy-Palpalá	1991	178748
http://harth.org/andreas/2017/citydata/unsd/cities#000790U	Resistencia	1991	292287
http://harth.org/andreas/2017/citydata/unsd/cities#000790C	Resistencia	1991	229212
http://harth.org/andreas/2017/citydata/unsd/cities#000890U	Santa Fé	1991	406388
http://harth.org/andreas/2017/citydata/unsd/cities#000900C	Santiago del Estero-La Banda	1991	189947
http://harth.org/andreas/2017/citydata/unsd/cities#000890C	Santa Fé	1991	353063
http://harth.org/andreas/2017/citydata/unsd/cities#000880U	San Salvador de Jujuy-Palpalá	1991	180102
http://harth.org/andreas/2017/citydata/unsd/cities#000870C	San Nicolás-Villa Constitución	1991	119302
http://harth.org/andreas/2017/citydata/unsd/cities#000860U	San Miguel de Tucumán	1991	622324
http://harth.org/andreas/2017/citydata/unsd/cities#000850U	San Juan	1991	352691
http://harth.org/andreas/2017/citydata/unsd/cities#000860C	San Miguel de Tucumán	1991	470809
http://harth.org/andreas/2017/citydata/unsd/cities#001470C	YEREVAN	2011	1060138
http://harth.org/andreas/2017/citydata/unsd/cities#000850C	San Juan	1991	119423
http://harth.org/andreas/2017/citydata/unsd/cities#000820U	Salta	1991	370904
http://harth.org/andreas/2017/citydata/unsd/cities#000830C	San Fernando	1991	141063
http://harth.org/andreas/2017/citydata/unsd/cities#001460C	Gyumri (Leninakan)	2009	146355
http://harth.org/andreas/2017/citydata/unsd/cities#000910C	Vicente López	1991	289505
http://harth.org/andreas/2017/citydata/unsd/cities#001460C	Gyumri (Leninakan)	2011	121976
http://harth.org/andreas/2017/citydata/unsd/cities#000900U	Santiago del Estero-La Banda	1991	263471
http://harth.org/andreas/2017/citydata/unsd/cities#001460C	Gyumri (Leninakan)	2008	146704
http://harth.org/andreas/2017/citydata/unsd/cities#001470C	YEREVAN	2008	1109580
http://harth.org/andreas/2017/citydata/unsd/cities#001450C	Vanadzoz (Kirovakan)	2008	104886
http://harth.org/andreas/2017/citydata/unsd/cities#001460C	Gyumri (Leninakan)	2007	147350
http://harth.org/andreas/2017/citydata/unsd/cities#001450C	Vanadzoz (Kirovakan)	2009	104825
http://harth.org/andreas/2017/citydata/unsd/cities#001470C	YEREVAN	2009	1116648
http://harth.org/andreas/2017/citydata/unsd/cities#001460C	Gyumri (Leninakan)	2006	148000
http://harth.org/andreas/2017/citydata/unsd/cities#001470C	YEREVAN	2007	1106383
http://harth.org/andreas/2017/citydata/unsd/cities#001450C	Vanadzoz (Kirovakan)	2007	105100
http://harth.org/andreas/2017/citydata/unsd/cities#001450C	Vanadzoz (Kirovakan)	2004	105900
http://harth.org/andreas/2017/citydata/unsd/cities#001470C	YEREVAN	2004	1102427
http://harth.org/andreas/2017/citydata/unsd/cities#001470C	YEREVAN	2006	1104398
http://harth.org/andreas/2017/citydata/unsd/cities#001450C	Vanadzoz (Kirovakan)	2006	105300
http://harth.org/andreas/2017/citydata/unsd/cities#001460C	Gyumri (Leninakan)	2004	149200
http://harth.org/andreas/2017/citydata/unsd/cities#031380C	ORANJESTAD	2010	28295
http://harth.org/andreas/2017/citydata/unsd/cities#001460C	Gyumri (Leninakan)	2001	150917
http://harth.org/andreas/2017/citydata/unsd/cities#000940C	Brisbane	2014	2176799
http://harth.org/andreas/2017/citydata/unsd/cities#001470C	YEREVAN	2001	1103488
http://harth.org/andreas/2017/citydata/unsd/cities#001450C	Vanadzoz (Kirovakan)	2001	107394
http://harth.org/andreas/2017/citydata/unsd/cities#000963C	Canberra-Queanbeyan	2014	422510
http://harth.org/andreas/2017/citydata/unsd/cities#000970C	Central Coast	2014	323079
http://harth.org/andreas/2017/citydata/unsd/cities#000920C	Adelaide	2014	1276701
http://harth.org/andreas/2017/citydata/unsd/cities#000950C	Cairns	2014	146778
http://harth.org/andreas/2017/citydata/unsd/cities#001005C	Gold Coast-Tweed Heads	2014	614379
http://harth.org/andreas/2017/citydata/unsd/cities#031380C	ORANJESTAD	1991	20045
http://harth.org/andreas/2017/citydata/unsd/cities#001010C	Greater Melbourne	2014	4440328
http://harth.org/andreas/2017/citydata/unsd/cities#001012C	Greater Sydney	2014	4840628
http://harth.org/andreas/2017/citydata/unsd/cities#001011C	Greater Perth	2014	2021203
http://harth.org/andreas/2017/citydata/unsd/cities#001020C	Hobart	2014	207663
http://harth.org/andreas/2017/citydata/unsd/cities#001009C	Greater Hobart	2014	219243
http://harth.org/andreas/2017/citydata/unsd/cities#001008C	Greater Darwin	2014	140386
http://harth.org/andreas/2017/citydata/unsd/cities#001007C	Greater Brisbane	2014	2274560
http://harth.org/andreas/2017/citydata/unsd/cities#001070C	Sunshine Coast	2014	297380
http://harth.org/andreas/2017/citydata/unsd/cities#001006C	Greater Adelaide	2014	1304631
http://harth.org/andreas/2017/citydata/unsd/cities#001080C	Sydney	2014	4451841
