item,itemLabel,pop,area
http://www.wikidata.org/entity/Q79613,Mansfield,1121,5900000
http://www.wikidata.org/entity/Q79615,Earle,2414,8400000
http://www.wikidata.org/entity/Q79616,Tontitown,2460,46619785
http://www.wikidata.org/entity/Q79617,Goodwater,1475,16900000
http://www.wikidata.org/entity/Q79618,Plainview,755,3700000
http://www.wikidata.org/entity/Q79239,Valley,9524,28600000
http://www.wikidata.org/entity/Q79240,Moulton,3260,15300000
http://www.wikidata.org/entity/Q79241,Greenland,1259,7100000
http://www.wikidata.org/entity/Q79242,Hartselle,12019,38590822
http://www.wikidata.org/entity/Q79243,Midfield,5284,6733969
http://www.wikidata.org/entity/Q79244,Buckner,275,3366984
http://www.wikidata.org/entity/Q79245,Muscle Shoals,12846,40270000
http://www.wikidata.org/entity/Q79247,Linden,2123,9400000
http://www.wikidata.org/entity/Q79248,Dadeville,3212,41439809
http://www.wikidata.org/entity/Q79249,Cordova,2095,15539928
http://www.wikidata.org/entity/Q79250,Southside,8412,49600000
http://www.wikidata.org/entity/Q79251,Sumiton,2520,13726936
http://www.wikidata.org/entity/Q79252,Phenix City,37570,64231705
http://www.wikidata.org/entity/Q79253,Centreville,2778,24900000
http://www.wikidata.org/entity/Q79255,Haleyville,4182,19200000
http://www.wikidata.org/entity/Q79256,Highland,1045,23100000
http://www.wikidata.org/entity/Q79257,Hueytown,16105,30100000
http://www.wikidata.org/entity/Q79259,Saraland,13405,57000000
http://www.wikidata.org/entity/Q79260,Enterprise,22892,81100000
http://www.wikidata.org/entity/Q79261,Marion,12345,53100000
http://www.wikidata.org/entity/Q79262,Brundidge,2341,25200000
http://www.wikidata.org/entity/Q79263,Lanett,6468,16100000
http://www.wikidata.org/entity/Q79265,Foley,15402,67080692
http://www.wikidata.org/entity/Q79266,Creola,2002,40144815
http://www.wikidata.org/entity/Q79268,Attalla,6048,18100000
http://www.wikidata.org/entity/Q79270,Wilmar,511,4100000
http://www.wikidata.org/entity/Q79271,Carthage,343,2600000
http://www.wikidata.org/entity/Q79274,Parkin,1105,6600000
http://www.wikidata.org/entity/Q79275,St. Francis,250,950000
http://www.wikidata.org/entity/Q79276,Lamar,1415,11395947
http://www.wikidata.org/entity/Q79278,Roanoke,6074,49468772
http://www.wikidata.org/entity/Q79281,Washington,180,2600000
http://www.wikidata.org/entity/Q79283,Star City,2471,10900000
http://www.wikidata.org/entity/Q79285,Ola,1204,5179976
http://www.wikidata.org/entity/Q79286,Monette,1501,16330000
http://www.wikidata.org/entity/Q79287,Judsonia,2019,7900000
http://www.wikidata.org/entity/Q79288,Foreman,1011,5179976
http://www.wikidata.org/entity/Q79289,Knoxville,511,5700000
http://www.wikidata.org/entity/Q79290,Dierks,1230,4920977
http://www.wikidata.org/entity/Q79291,Turrell,615,14040000
http://www.wikidata.org/entity/Q79293,Calion,516,3400000
http://www.wikidata.org/entity/Q79295,McCrory,1850,6215971
http://www.wikidata.org/entity/Q79298,Delight,279,1300000
http://www.wikidata.org/entity/Q79299,Hardy,772,14000000
http://www.wikidata.org/entity/Q79300,Ash Flat,1082,15900000
http://www.wikidata.org/entity/Q79303,Pinson,7132,18200000
http://www.wikidata.org/entity/Q79305,Montrose,354,1200000
http://www.wikidata.org/entity/Q79307,Cave Springs,1729,18000000
http://www.wikidata.org/entity/Q79308,McGehee,4219,17500000
http://www.wikidata.org/entity/Q79311,Ward,4000,10100953
http://www.wikidata.org/entity/Q79312,Harrell,254,1600000
